sexo,peso,estatura
M,72.3,163
H,114.2,175
H,106.2,176
M,40.3,169
M,61.3,171
M,62.1,169
H,75.1,179
M,35.8,165
M,48.7,164
H,85.7,178
H,69.0,178
M,47.5,157
H,112.1,190
H,100.7,172
M,54.1,157
M,68.2,163
H,88.7,184
M,52.5,167
H,68.6,189
H,88.6,169
M,70.2,163
H,81.4,193
M,50.8,172
M,52.8,174
H,58.2,183
H,78.7,172
H,72.4,175
H,83.8,176
M,58.4,156
M,57.3,157
H,64.7,172
H,83.9,185
H,85.9,185
H,90.5,185
M,59.7,169
M,61.9,166
M,60.2,163
M,70.4,156
M,51.5,161
H,90.0,175
H,68.0,166
M,66.7,161
H,91.9,171
H,72.5,169
M,59.0,169
M,58.6,162
H,77.5,172
H,58.4,180
M,59.3,170
H,86.7,172
M,80.7,179
M,65.4,164
H,96.4,189
M,41.9,161
M,55.4,164
H,79.3,170
M,57.4,157
M,65.7,162
M,77.7,165
M,87.0,162
M,66.3,166
M,68.9,149
H,56.4,158
H,89.7,188
H,91.1,176
M,72.2,159
H,69.2,175
M,55.1,156
M,50.4,163
M,65.5,171
H,77.3,170
M,59.4,175
M,58.6,177
H,74.7,166
M,63.5,164
M,71.6,161
H,94.4,184
M,44.2,156
M,73.2,163
M,72.1,164
H,96.1,180
H,70.5,177
H,91.2,194
M,72.9,161
M,78.1,161
H,82.6,170
M,72.1,167
H,101.8,178
M,74.7,160
H,83.5,183
H,76.4,171
M,58.1,166
M,53.4,167
H,74.8,173
H,77.0,177
M,41.7,155
M,49.7,151
H,77.5,161
H,85.2,168
M,53.6,164
H,84.0,174
H,78.3,165
M,75.3,155
M,64.8,165
M,62.1,164
M,40.2,163
H,86.4,173
H,84.9,180
M,51.2,169
M,63.3,167
M,85.3,170
H,107.8,170
M,61.6,155
M,52.2,167
H,98.9,181
M,46.6,169
H,64.1,188
H,72.2,180
M,72.1,170
H,64.6,177
H,87.6,172
M,67.9,163
M,58.8,159
M,51.8,168
H,88.0,173
H,97.2,186
M,59.4,174
M,65.9,162
H,78.3,173
H,87.9,180
M,68.9,169
H,85.7,180
M,39.8,174
M,48.5,167
H,67.9,182
M,80.3,160
H,65.9,167
M,80.0,164
H,83.3,172
M,62.9,162
M,73.5,173
M,68.4,169
M,65.1,161
H,104.3,193
H,82.7,186
H,83.2,184
H,94.6,175
M,78.3,163
M,72.0,166
H,80.8,183
M,57.8,171
M,51.2,168
M,67.1,161
H,68.1,186
H,57.0,173
H,101.0,185
M,56.4,184
M,86.9,165
H,82.1,193
H,82.0,186
M,72.3,161
M,62.4,163
M,51.7,164
M,52.8,157
H,85.2,168
H,97.5,178
M,73.0,145
H,100.7,169
M,60.1,163
H,87.4,188
H,74.8,184
M,47.2,167
H,61.6,188
H,79.0,190
M,58.7,156
M,62.5,157
M,69.3,167
H,78.3,182
M,89.2,163
M,61.0,158
H,83.8,185
H,71.4,190
M,85.0,164
M,61.9,160
M,61.4,164
M,71.3,165
M,73.9,159
M,60.6,165
H,100.1,169
H,83.4,163
M,47.0,167
M,66.7,173
H,87.0,183
M,66.8,173
H,79.9,172
M,55.0,166
H,90.6,174
M,75.6,166
M,49.8,167
M,55.5,166
